,,Date,Open,Close,High,Low,Volume,Money,Factor,Adj Close
600519.XSHG,2582,2018-04-26,626.23,613.77,626.48,609.03,3872897.0,2378744475.0,6.764744,613.77
600519.XSHG,2583,2018-04-27,620.12,599.56,622.93,592.74,6399802.0,3866680412.0,6.764744,599.56
600519.XSHG,2584,2018-05-02,597.27,604.35,605.4,583.75,7763839.0,4589885607.0,6.764744,604.35
600519.XSHG,2585,2018-05-03,602.7,607.11,609.65,595.46,4014189.0,2426248236.0,6.764744,607.11
600519.XSHG,2586,2018-05-04,607.21,599.87,610.69,597.78,4130141.0,2492610223.0,6.764744,599.87
600519.XSHG,2587,2018-05-07,597.22,631.81,635.17,595.25,9458106.0,5858519223.0,6.764744,631.81
600519.XSHG,2588,2018-05-08,631.68,641.46,644.44,631.68,6906195.0,4414037853.0,6.764744,641.46
600519.XSHG,2589,2018-05-09,641.68,635.23,644.6,630.86,3572678.0,2267880036.0,6.764744,635.23
600519.XSHG,2590,2018-05-10,636.63,646.31,647.95,636.63,4342081.0,2794919589.0,6.764744,646.31
600519.XSHG,2591,2018-05-11,650.38,649.77,661.07,647.67,4325268.0,2826877192.0,6.764744,649.77
600519.XSHG,2592,2018-05-14,655.19,671.85,672.38,655.19,5637276.0,3753818029.0,6.764744,671.85
600519.XSHG,2593,2018-05-15,675.1,672.43,675.49,664.24,4205278.0,2811622722.0,6.764744,672.43
600519.XSHG,2594,2018-05-16,669.67,664.71,674.79,663.58,3402961.0,2275092450.0,6.764744,664.71
600519.XSHG,2595,2018-05-17,665.25,658.24,667.4,655.19,3151316.0,2077476640.0,6.764744,658.24
600519.XSHG,2596,2018-05-18,655.18,669.05,670.57,652.64,3232783.0,2140724039.0,6.764744,669.05
600519.XSHG,2597,2018-05-21,673.29,664.98,676.27,662.86,3211169.0,2150582003.0,6.764744,664.98
600519.XSHG,2598,2018-05-22,665.34,669.28,669.52,660.63,1878435.0,1250693946.0,6.764744,669.28
600519.XSHG,2599,2018-05-23,669.67,654.99,669.67,654.81,3123776.0,2061375201.0,6.764744,654.99
600519.XSHG,2600,2018-05-24,651.57,647.4,659.4,645.23,3361095.0,2191695815.0,6.764744,647.4
600519.XSHG,2601,2018-05-25,644.33,648.72,657.9,644.33,2929595.0,1908701139.0,6.764744,648.72
600519.XSHG,2602,2018-05-28,649.76,670.03,670.26,647.15,4730104.0,3129960293.0,6.764744,670.03
600519.XSHG,2603,2018-05-29,668.58,661.91,678.71,661.77,4510760.0,3029700817.0,6.764744,661.91
600519.XSHG,2604,2018-05-30,658.1,656.88,667.22,651.61,4104864.0,2706486799.0,6.764744,656.88
600519.XSHG,2605,2018-05-31,660.84,679.74,680.18,660.83,7939954.0,5356222572.0,6.764744,679.74
600519.XSHG,2606,2018-06-01,679.74,674.29,683.22,668.54,3997735.0,2694415012.0,6.764744,674.29
600519.XSHG,2607,2018-06-04,680.84,707.65,708.49,674.99,8155778.0,5697540359.0,6.764744,707.65
600519.XSHG,2608,2018-06-05,711.75,713.15,719.17,703.36,5815734.0,4136578583.0,6.764744,713.15
600519.XSHG,2609,2018-06-06,713.1,711.07,724.82,707.94,5411272.0,3870616725.0,6.764744,711.07
